CASE;CASE_X;CASE_Y;CASE_Z;INT;NORM;AVG;CRIT;LOC;MESH_X;MESH_Y;MESH_Z;LOAD_N;SIG_0_ABS;SIG_0;VTK;ERR_EXT
PWH;200;200;1;EM;NOD;NOD;PIA;V;4;4;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;EM;NOD;PIA;V;4;4;1;40.0;TRUE;100;0;1
PWH;200;200;1;G5;NOD;NOD;PIA;V;4;4;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;NOD;NOD;PIA;V;8;8;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;EM;NOD;PIA;V;8;8;1;40.0;TRUE;100;0;1
PWH;200;200;1;G5;NOD;NOD;PIA;V;8;8;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;NOD;NOD;PIA;V;12;12;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;EM;NOD;PIA;V;12;12;1;40.0;TRUE;100;0;1
PWH;200;200;1;G5;NOD;NOD;PIA;V;12;12;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;NOD;NOD;PIA;V;16;16;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;EM;NOD;PIA;V;16;16;1;40.0;TRUE;100;0;1
PWH;200;200;1;G5;NOD;NOD;PIA;V;16;16;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;NOD;NOD;PIA;V;24;24;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;EM;NOD;PIA;V;24;24;1;40.0;TRUE;100;0;1
PWH;200;200;1;G5;NOD;NOD;PIA;V;24;24;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;NOD;NOD;PIA;V;32;32;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;EM;NOD;PIA;V;32;32;1;40.0;TRUE;100;0;1
PWH;200;200;1;G5;NOD;NOD;PIA;V;32;32;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;NOD;NOD;PIA;V;48;48;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;EM;NOD;PIA;V;48;48;1;40.0;TRUE;100;0;1
PWH;200;200;1;G5;NOD;NOD;PIA;V;48;48;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;NOD;NOD;PIA;V;64;64;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;EM;NOD;PIA;V;64;64;1;40.0;TRUE;100;0;1
PWH;200;200;1;G5;NOD;NOD;PIA;V;64;64;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;NOD;NOD;PIA;V;96;96;1;40.0;TRUE;100;0;1
PWH;200;200;1;EM;EM;NOD;PIA;V;96;96;1;40.0;TRUE;100;0;1
PWH;200;200;1;G5;NOD;NOD;PIA;V;96;96;1;40.0;TRUE;100;0;1
